english_file,original_course_path,role,adaptation_notes
"01_install_core_r_packages.R","2.R包安装/1.基础R包安装.r","dependency inventory","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"02_install_github_r_packages.R","2.R包安装/2.Github安装.r","dependency inventory","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"03_read_single_matrix.R","3.单矩阵读取/单矩阵读取.r","input import reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"04_read_multiple_matrices.R","4.多矩阵读取/多矩阵读取.r","input import reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"05_read_10x_standard.R","5.10X数据读取(标准10X)/10X数据读取.r","10x import reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"06_read_10x_nonstandard.R","6.10X数据读取(非标准10X)/非标准10X数据读取 .R","10x import reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"07_read_multiple_10x_samples.R","7.多个10X数据读取/多个10X数据读取.r","10x import reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"08_read_10x_h5.R","8.H5数据读取/H5读取.r","h5 import reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"09_merge_mixed_inputs.R","9.多个不同数据合并(思路)/多个不同数据合并(思路).r","merge reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"10_quality_control.R","10.数据质控/数据质控.r","QC reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"11_normalization_decontx_harmony.R","11.标准化(过滤游离RNA)/标准化步骤.r","normalization reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"12_doublet_finder.R","12-1.去除双细胞(DoubletFinder)/DoubletFinder.r","doublet reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"13_scdblfinder.R","12-2.去除双细胞(scDblFinder)/scDblFinder.r","doublet reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"14_post_doublet_normalization.R","12-3.去除双细胞后常规标准化/去除双细胞后常规标准化.r","normalization reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"15_clustering_resolution.R","13.分群聚类/分群聚类.r","clustering reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"16_manual_cell_annotation.R","14.细胞手动注释/细胞手动注释.r","annotation reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"17_singler_annotation.R","15-1.细胞自动注释(singleR)/single.r","annotation reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"18_scina_annotation.R","15-2.细胞自动注释(SCINA)/SCINA.r","annotation reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"19_llm_annotation_kimi.R","15-3.细胞自动注释(调用Kimi)/调用Kimi进行自动注释.r","LLM annotation reference","renamed to English; interactive working-directory selection removed when present; do not upload private expression matrices or clinical metadata"
"20_llm_annotation_deepseek.R","15-4.细胞自动注释(调用DeepSeek)/调用DeepSeek进行自动注释.r","LLM annotation reference","renamed to English; interactive working-directory selection removed when present; do not upload private expression matrices or clinical metadata"
"21_transferdata_annotation.R","16-1.自有模型细胞自动注释(TransferData)/TransferData.R","annotation reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"22_scpred_annotation.R","16-2.自有模型细胞自动注释(scPred)/scPred.r","annotation reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"23_marker_detection_methods.R","17.多种算法计算marker基因/多种算法计算marker基因.R","marker reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"24_go_kegg_enrichment.R","18.GO_KEGG/GO_KEGG.r","enrichment reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"25_monocle2_pseudotime.R","19-1.拟时序分析Monocle2/拟时序分析Monocle2.r","trajectory reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"26_monocle3_pseudotime.R","19-2.拟时序分析Monocle3/Monocle3.r","trajectory reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"27_cellchat_analysis.R","20.CellChat/CellChat.r","cell communication reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"28_copykat_cnv.R","21.copykat/copykat.r","CNV reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"29_infercnv_basic.R","22-1.infercnv/infercnv.r","CNV reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"30_infercnv_with_normal_reference.R","22-2.infercnv(引入正常对照)/infercnv(引入正常对照).r","CNV reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"31_infercnv_score.R","22-3.infercnv(计算打分)/infercnv(计算打分).r","CNV reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"32_hdwgcna_coexpression.R","23.hdWGCNA/hdWGCNA.r","coexpression reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"33_cibersort_immune_helper.R","deconvolution/CIBERSORT helper","deconvolution helper reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"34_cibersort_deconvolution.R","24-1反卷积(CIBERSORT)/反卷积(CIBERSORT).R","deconvolution reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
"35_music_deconvolution.R","24-2反卷积(MusiC)/反卷积(MusiC).r","deconvolution reference","renamed to English; interactive working-directory selection removed when present; project-specific values still require review"
